original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
SARKIES MANSIONS,sarkies-mansions,https://www.edgeprop.sg/condo-apartment/sarkies-mansions,https://www.edgeprop.sg/condo-apartment/sarkies-mansions,"2,066","3,306",1.6,SARKIES MANSIONS,SARKIES ROAD,258128,-,-,D10 / Newton,Unknown,15 units,-,-,-,-,-,,,,,,,,,sarkies-mansions,9 SARKIES ROAD SARKIES MANSIONS SINGAPORE 258128,258128,1.31337529745338,103.836295870569,9,SARKIES ROAD,SARKIES MANSIONS,NEWTON MRT STATION,196.31037231538468,Exit A
KINGSGROVE,kingsgrove,https://www.edgeprop.sg/condo-apartment/kingsgrove,https://www.edgeprop.sg/condo-apartment/kingsgrove,"3,965","5,551",1.4,KINGSGROVE,Ang Mo Kio Avenue 1,569979,Condominium,Freehold,D20 / Serangoon,1992,32 units,"S$ 1,270 psf in Jul 2024 for a 1,259-sqft unit",0.0%,"S$ 379 psf in Sep 2004 for a 1,582-sqft unit","Singaporean 87.5%, PR 7.5%, Foreigner 5.0%, Company 0.0%","HDB 55.0%, Private 45.0%","S$ 1,270 - S$ 1,270 psf / S$ 1,270 psf",S$ 3.2 - S$ 3.2 psf pm / S$ 3.2 psf pm,3.0%,,,,,,kingsgrove,1801 ANG MO KIO AVENUE 1 KINGSGROVE SINGAPORE 569979,569979,1.35563325212442,103.858817438671,1801,ANG MO KIO AVENUE 1,KINGSGROVE,LORONG CHUAN MRT STATION,628.7822540392104,Exit B
TANGERINE GROVE,tangerine-grove,https://www.edgeprop.sg/condo-apartment/tangerine-grove,https://www.edgeprop.sg/condo-apartment/tangerine-grove,"10,238","14,333",1.4,TANGERINE GROVE,Paya Lebar Crescent,"534239, 536019",Condominium,Freehold,D19 / Hougang,2007,125 units,"S$ 1,777 psf in May 2025 for a 1,238-sqft unit",-5.4%,"S$ 485 psf in Jul 2005 for a 2,131-sqft unit","Singaporean 86.3%, PR 9.4%, Foreigner 3.8%, Company 0.0%","HDB 49.5%, Private 50.5%","S$ 1,577 - S$ 1,777 psf / S$ 1,681 psf",S$ 2.9 - S$ 4.1 psf pm / S$ 3.6 psf pm,2.6%,CPL VENTURES PTE LTD,18.0,,,,tangerine-grove,3 PAYA LEBAR CRESCENT TANGERINE GROVE SINGAPORE 534239,534239,1.35025662393926,103.880579427111,3,PAYA LEBAR CRESCENT,TANGERINE GROVE,SERANGOON MRT STATION,696.7262716272023,Exit D
THE SCALA,the-scala,https://www.edgeprop.sg/condo-apartment/the-scala,https://www.edgeprop.sg/condo-apartment/the-scala,"13,877","38,857",2.8,THE SCALA,Serangoon Avenue 3,"554475, 554476, 554477, 554478, 554479","Apartment, Condominium",99 Yrs From 06/01/2010,D19 / Serangoon,2013,468 units,"S$ 2,064 psf in Nov 2024 for a 1,259-sqft unit",-7.6%,S$ 866 psf in Aug 2010 for a 980-sqft unit,"Singaporean 75.8%, PR 14.3%, Foreigner 9.0%, Company 0.8%","HDB 38.6%, Private 61.4%","S$ 1,834 - S$ 2,064 psf / S$ 1,908 psf",S$ 3.2 - S$ 7.6 psf pm / S$ 5.6 psf pm,3.5%,CIRCLE LINE PTE LTD,12.0,P & T CONSULTANTS PTE LTD,LIAN BENG CONSTRUCTION (1988) PTE LTD,,the-scala,130 SERANGOON AVENUE 3 THE SCALA SINGAPORE 554479,554479,1.35031605592711,103.865369039913,130,SERANGOON AVENUE 3,THE SCALA,LORONG CHUAN MRT STATION,133.92756688566686,Exit A
SEASIDE RESIDENCES,seaside-residences,https://www.edgeprop.sg/condo-apartment/seaside-residences,https://www.edgeprop.sg/condo-apartment/seaside-residences,"19,514","68,301",3.5,Seaside Residences,Siglap Link,"448869, 448870, 448871, 448872, 448873",Apartment,99 Yrs From 18/04/2016,D15 / Bedok,2021,841 units,"S$ 2,667 psf in Apr 2021 for a 581-sqft unit",-14.7%,"S$ 1,421 psf in Apr 2017 for a 807-sqft unit","Singaporean 82.5%, PR 11.5%, Foreigner 5.8%, Company 0.2%","HDB 31.3%, Private 68.7%","S$ 1,938 - S$ 2,611 psf / S$ 2,275 psf",S$ 5.2 - S$ 8.4 psf pm / S$ 6.4 psf pm,3.4%,EAST VUE PTE LTD,4.0,,,,seaside-residences,18 SIGLAP LINK SEASIDE RESIDENCES SINGAPORE 448873,448873,1.30741289729613,103.926676412664,18,SIGLAP LINK,SEASIDE RESIDENCES,BEDOK MRT STATION,1817.4798958743952,Exit A
NICOLE GREEN,nicole-green,https://www.edgeprop.sg/condo-apartment/nicole-green,https://www.edgeprop.sg/condo-apartment/nicole-green,"1,872","5,236",2.8,NICOLE GREEN,Guillemard Road,399710,Apartment,Freehold,D14 / Geylang,2002,44 units,"S$ 1,404 psf in Apr 2023 for a 926-sqft unit",-2.3%,"S$ 327 psf in Jun 2003 for a 2,260-sqft unit","Singaporean 91.2%, PR 8.8%, Foreigner 0.0%, Company 0.0%","HDB 52.2%, Private 47.8%","S$ 1,372 - S$ 1,372 psf / S$ 1,372 psf",S$ 2.6 - S$ 4.1 psf pm / S$ 3.3 psf pm,2.9%,ANNERLY PTE LTD,23.0,,,,nicole-green,68 GUILLEMARD ROAD NICOLE GREEN SINGAPORE 399710,399710,1.30930458520869,103.879851001095,68,GUILLEMARD ROAD,NICOLE GREEN,MOUNTBATTEN MRT STATION,416.8191565224087,Exit A
DUKU COURT,duku-court,https://www.edgeprop.sg/condo-apartment/duku-court,https://www.edgeprop.sg/condo-apartment/duku-court,720,"1,008",1.4,DUKU COURT,Duku Road,"429233, 429235",Apartment,Freehold,D15 / Marine Parade,1991,6 units,"S$ 1,113 psf in Nov 2019 for a 1,184-sqft unit",-2.2%,"S$ 498 psf in May 2000 for a 1,206-sqft unit","Singaporean 100.0%, PR 0.0%, Foreigner 0.0%, Company 0.0%","HDB 66.7%, Private 33.3%","S$ 1,089 - S$ 1,089 psf / S$ 1,089 psf",S$ 2.2 - S$ 2.2 psf pm / S$ 2.2 psf pm,2.5%,,,,,,duku-court,71 DUKU ROAD DUKU COURT SINGAPORE 429233,429233,1.31064572756744,103.906029148071,71,DUKU ROAD,DUKU COURT,EUNOS MRT STATION,1036.221339502698,Exit C
LEICESTER LODGE,leicester-lodge,https://www.edgeprop.sg/condo-apartment/leicester-lodge,https://www.edgeprop.sg/condo-apartment/leicester-lodge,"1,231","2,585",2.1,LEICESTER LODGE,Leicester Road,358843,Apartment,Freehold,D13 / Toa Payoh,2003,16 units,"S$ 1,431 psf in Nov 2023 for a 1,335-sqft unit",0.0%,"S$ 502 psf in Sep 2005 for a 1,335-sqft unit","Singaporean 88.5%, PR 11.5%, Foreigner 0.0%, Company 0.0%","HDB 46.2%, Private 53.8%","S$ 1,431 - S$ 1,431 psf / S$ 1,431 psf",S$ 3.3 - S$ 3.3 psf pm / S$ 3.3 psf pm,2.8%,GOODLAND PTE LTD,22.0,,,,leicester-lodge,9 LEICESTER ROAD LEICESTER LODGE SINGAPORE 358843,358843,1.32998564776679,103.866875430246,9,LEICESTER ROAD,LEICESTER LODGE,POTONG PASIR MRT STATION,236.14650155759304,Exit C
THE SORRENTO,the-sorrento,https://www.edgeprop.sg/condo-apartment/the-sorrento,https://www.edgeprop.sg/condo-apartment/the-sorrento,"7,031","9,843",1.4,THE SORRENTO,West Coast Road,127365,Condominium,Freehold,D5 / Clementi,2015,131 units,"S$ 1,858 psf in Feb 2025 for a 463-sqft unit",-17.3%,"S$ 1,115 psf in May 2014 for a 1,496-sqft unit","Singaporean 85.4%, PR 12.1%, Foreigner 2.5%, Company 0.0%","HDB 46.5%, Private 53.5%","S$ 1,253 - S$ 1,858 psf / S$ 1,536 psf",S$ 3.8 - S$ 7.8 psf pm / S$ 6.3 psf pm,4.9%,ALLGREEN PROPERTIES LTD,10.0,,,,the-sorrento,55 WEST COAST ROAD THE SORRENTO SINGAPORE 127365,127365,1.29576313642746,103.766122279701,55,WEST COAST ROAD,THE SORRENTO,CLEMENTI MRT STATION,2037.4907955204103,Exit D
MI CASA,mi-casa,https://www.edgeprop.sg/condo-apartment/mi-casa,https://www.edgeprop.sg/condo-apartment/mi-casa,"19,000","53,200",2.8,MI CASA,Choa Chu Kang Avenue 3,"689859, 689860, 689861, 689862, 689863, 689864, 689865, 689866, 689867, 689868",Condominium,99 Yrs From 25/08/2008,D23 / Choa Chu Kang,2012,457 units,"S$ 1,366 psf in Dec 2024 for a 1,281-sqft unit",-7.6%,S$ 578 psf in Apr 2009 for a 990-sqft unit,"Singaporean 77.8%, PR 16.1%, Foreigner 6.1%, Company 0.0%","HDB 70.9%, Private 29.1%","S$ 1,110 - S$ 1,366 psf / S$ 1,262 psf",S$ 2.8 - S$ 4.0 psf pm / S$ 3.5 psf pm,3.3%,TIAN HOCK PROPERTIES PTE LTD,13.0,DP ARCHITECTS PTE LTD,WOH HUP (PRIVATE) LIMITED,,mi-casa,319 CHOA CHU KANG AVENUE 3 MI CASA SINGAPORE 689863,689863,1.38379185133409,103.747805083933,319,CHOA CHU KANG AVENUE 3,MI CASA,CHOA CHU KANG LRT STATION,378.69109857280125,Exit E
DE CASALLE,de-casalle,https://www.edgeprop.sg/condo-apartment/de-casalle,https://www.edgeprop.sg/condo-apartment/de-casalle,"1,863","2,608",1.4,DE CASALLE,Lorong N Telok Kurau,425236,Apartment,Freehold,D15 / Bedok,1996,32 units,"S$ 1,738 psf in Jun 2025 for a 1,249-sqft unit",-0.8%,"S$ 453 psf in Oct 2003 for a 1,206-sqft unit","Singaporean 90.7%, PR 3.7%, Foreigner 5.6%, Company 0.0%","HDB 41.5%, Private 58.5%","S$ 1,711 - S$ 1,738 psf / S$ 1,724 psf",S$ 2.8 - S$ 3.5 psf pm / S$ 3.1 psf pm,2.2%,,,,,,de-casalle,86A LORONG N TELOK KURAU DE CASALLE SINGAPORE 425236,425236,1.31005783724773,103.91548310029,86A,LORONG N TELOK KURAU,DE CASALLE,KEMBANGAN MRT STATION,1240.8414588929486,Exit A
THE COTZ,the-cotz,https://www.edgeprop.sg/condo-apartment/the-cotz,https://www.edgeprop.sg/condo-apartment/the-cotz,"1,521","2,130",1.4,THE COTZ,Telok Kurau Road,423824,Apartment,Freehold,D15 / Bedok,2010,48 units,"S$ 1,681 psf in Mar 2025 for a 452-sqft unit",-3.4%,"S$ 801 psf in Nov 2010 for a 1,184-sqft unit","Singaporean 75.0%, PR 22.0%, Foreigner 3.0%, Company 0.0%","HDB 43.0%, Private 57.0%","S$ 1,559 - S$ 1,681 psf / S$ 1,624 psf",S$ 3.0 - S$ 8.1 psf pm / S$ 5.5 psf pm,4.1%,FRAGRANCE REALTY PTE LTD,15.0,,,,the-cotz,171 TELOK KURAU ROAD THE COTZ SINGAPORE 423824,423824,1.31335497672775,103.910858221599,171,TELOK KURAU ROAD,THE COTZ,KEMBANGAN MRT STATION,872.8800954660451,Exit A
